Fold,Classifier,Accuracy,Precision,Recall,Specificity,F1,GM,FPR,AUC,MCC,Kappa,Balanced Accuracy,Training Time (s)
7,KNN,0.8120903131828113,0.30179028132992325,0.5086206896551724,0.8506155950752394,0.37881219903691815,0.6577542782822572,0.1493844049247606,0.7154287938110289,0.28960189363339384,0.2765120690022961,0.6796181423652059,0.004770994186401367
8,KNN,0.8137897547948532,0.30943396226415093,0.5301724137931034,0.8497948016415868,0.3907863383637808,0.6712210971171508,0.15020519835841314,0.7388895112977028,0.30439305206690814,0.28974153007344094,0.6899836077173451,0.004860639572143555
9,KNN,0.8169014084507042,0.30614973262032086,0.49353448275862066,0.8579638752052545,0.3778877887788779,0.6507186468628412,0.14203612479474548,0.7252629970934075,0.2882709059455807,0.27738783003077594,0.6757491789819376,0.004812955856323242
10,KNN,0.8142302088392424,0.30779054916985954,0.5193965517241379,0.8516694033935414,0.3865276663993585,0.6650970991754206,0.14833059660645867,0.7250895924164354,0.29899613318529433,0.2854135694457235,0.6855329775588397,0.00482177734375
1,MLP,0.8108764263170672,0.2874493927125506,0.45905172413793105,0.8555403556771546,0.35352697095435687,0.6266875420360426,0.14445964432284542,0.707125630925987,0.25894739054747384,0.2495577965674769,0.6572960399075428,25.995256423950195
2,MLP,0.8273852876911871,0.30427892234548337,0.41379310344827586,0.879890560875513,0.3506849315068493,0.6034008998000605,0.120109439124487,0.6996067031463749,0.2577980057423799,0.2538075799728746,0.6468418321618944,30.02739715576172
3,MLP,0.827628065064336,0.297029702970297,0.3879310344827586,0.8834473324213407,0.3364485981308411,0.5854200522507272,0.11655266757865937,0.7085549436294165,0.2422158275295899,0.23939690431270833,0.6356891834520496,25.334043741226196
4,MLP,0.8271425103180383,0.3103975535168196,0.4375,0.8766073871409029,0.3631484794275492,0.6192864699588915,0.12339261285909713,0.694624156799849,0.2717317198205358,0.26647507709854357,0.6570536935704514,26.92599630355835
5,MLP,0.8315125030347171,0.3407202216066482,0.5301724137931034,0.8697674418604651,0.4148397976391231,0.6790631075900203,0.13023255813953488,0.7460275248832492,0.3325684101066196,0.3218253913650816,0.6999699278267842,22.784132719039917
6,MLP,0.8150036416605972,0.3104325699745547,0.5258620689655172,0.8517099863201094,0.3904,0.6692398490562895,0.14829001367989056,0.7342813929902353,0.3037900847612592,0.2897861265319589,0.6887860276428133,19.2928569316864
7,MLP,0.817916970138383,0.2957142857142857,0.44612068965517243,0.8651162790697674,0.3556701030927835,0.6212457412735489,0.13488372093023257,0.6983206755035616,0.2619963779941599,0.2546893592053495,0.6556184843624699,47.06280326843262
8,MLP,0.8218014081087642,0.29850746268656714,0.43103448275862066,0.8714090287277702,0.3527336860670194,0.6128681260833088,0.12859097127222982,0.718759729232511,0.25909733986534084,0.2533447463267926,0.6512217557431954,31.138933658599854
9,MLP,0.8358426420592521,0.351123595505618,0.5387931034482759,0.8735632183908046,0.42517006802721086,0.6860538153053634,0.12643678160919541,0.7393597946511145,0.3447891575491977,0.3343503827804283,0.7061781609195403,22.101967096328735
10,MLP,0.8224866440019427,0.31170662905500707,0.47629310344827586,0.866447728516694,0.37681159420289856,0.6424041388339006,0.13355227148330598,0.7234611219636486,0.287059874189514,0.2785415421398685,0.6713704159824849,18.10610604286194
